hour,count
0,2202
1,1415
2,1002
3,842
4,588
5,603
6,481
7,423
8,320
9,233
10,231
11,206
12,193
13,164
14,180
15,151
16,156
17,113
18,114
19,122
20,119
21,72
22,50
23,48
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
